Nature des Bois	Densité
Açoita-cavallo	0.586
Aderno	0.934
Alecrim	0.943
Alleluia	0.567
Andá-assú	0.494
Angelim	0.723
Angelim doce	0.923
Anil-assú	0.512
Arapoca amarella	1.115
Arapoca branca	0.764
Araribá amarelho	0.940
Araribá vermelho	0.822
Arco de pipa	1.121
Ataiúba	0.642
Azedinho	0.457
Batalha	0.708
Barbatimão	1.289
Bico de pato	0.946
Bicuhyba	0.770
Branquilho	0.635
Braúna	1.068
Cabruéuva	0.970
Cafezinho	0.836
Caingá	0.824
Caixeta	0.480
Cambará	0.912
Cambotaan	0.881
Canafistula	0.500
Candeia	1.214
Canella amarella	0.658
Canella póca	0.628
Canella preta	0.870
Canella sassafraz	0.992
Cangerana	0.741
Carvalho brasileiro	0.991
Caviúna	0.845
Cedro branco	0.560
Cedro rosa	0.570
Congonheiro	0.603
Copahyba	0.954
Dedaleiro	0.775
Faveiro	0.955
Folha de bolo	0.830
Fruta de macaco	0.700
Fruta de tucano	0.930
Guapuruvú	0.302
Guaritan	0.984
Guatambu	0.786
Imbirussú	0.320
Ingázeiro	0.654
Ingá-mirim	0.675
Jacarandá caroba	0.549
Jacarandá do campo	0.835
Jacarandá do matto	0.939
Jacaré	0.994
Jacatirão	0.606
Jangada brava	0.710
Jatobá	0.821
Jequitibá branco	0.587
Jequitibá vermelho	0.600
Mamoninho	0.918
Mandaravé	0.895
Mandioqueira	0.590
Marinheiro	0.575
Olho de cabra	0.668
Peroba rosa	0.858
Pinheiro	0.762
Pirema grande	0.590
Quina brava	0.808
Saguaragy	0.903
Tamboril	0.350
Tapiá	0.432
Taruman	0.770
Tayuva	0.930
